uniprot.id	uniprot.id2	entrez.id
P31946	1433B_HUMAN	7529
P62258	1433E_HUMAN	7531
Q04917	1433F_HUMAN	7533
P61981	1433G_HUMAN	7532
P31947	1433S_HUMAN	2810
P27348	1433T_HUMAN	10971
P63104	1433Z_HUMAN	7534
Q96QU6	1A1L1_HUMAN	84680
Q4AC99	1A1L2_HUMAN	390110
Q15172	2A5A_HUMAN	5525
Q15173	2A5B_HUMAN	5526
Q14738	2A5D_HUMAN	5528
Q16537	2A5E_HUMAN	5529
Q13362	2A5G_HUMAN	5527
P30153	2AAA_HUMAN	5518
P30154	2AAB_HUMAN	5519
P63151	2ABA_HUMAN	5520
Q00005	2ABB_HUMAN	5521
Q66LE6	2ABD_HUMAN	55844
Q9Y2T4	2ABG_HUMAN	5522
P14060	3BHS1_HUMAN	3283
P26439	3BHS2_HUMAN	3284
Q9H2F3	3BHS7_HUMAN	80270
Q9Y3L3	3BP1_HUMAN	23616
P78314	3BP2_HUMAN	6452
Q7L8J4	3BP5L_HUMAN	80851
O60239	3BP5_HUMAN	9467
P46952	3HAO_HUMAN	23498
P31937	3HIDH_HUMAN	11112
P29372	3MG_HUMAN	4350
P11171	41_HUMAN	2035
Q13541	4EBP1_HUMAN	1978
Q13542	4EBP2_HUMAN	1979
O60516	4EBP3_HUMAN	8637
Q9NRA8	4ET_HUMAN	56478
P08195	4F2_HUMAN	6520
P08908	5HT1A_HUMAN	3350
P28222	5HT1B_HUMAN	3351
P28221	5HT1D_HUMAN	3352
P28566	5HT1E_HUMAN	3354
P30939	5HT1F_HUMAN	3355
P28223	5HT2A_HUMAN	3356
P41595	5HT2B_HUMAN	3357
P28335	5HT2C_HUMAN	3358
P46098	5HT3A_HUMAN	3359
O95264	5HT3B_HUMAN	9177
Q8WXA8	5HT3C_HUMAN	170572
Q70Z44	5HT3D_HUMAN	200909
A5X5Y0	5HT3E_HUMAN	285242
Q13639	5HT4R_HUMAN	3360
P47898	5HT5A_HUMAN	3361
P50406	5HT6R_HUMAN	3362
P34969	5HT7R_HUMAN	3363
Q9BXI3	5NT1A_HUMAN	84618
Q96P26	5NT1B_HUMAN	100526794
Q96P26	5NT1B_HUMAN	93034
Q9H0P0	5NT3A_HUMAN	51251
Q969T7	5NT3B_HUMAN	115024
P49902	5NTC_HUMAN	22978
P21589	5NTD_HUMAN	4907
P52209	6PGD_HUMAN	5226
O95336	6PGL_HUMAN	25796
P05408	7B2_HUMAN	6447
P36639	8ODP_HUMAN	4521
P0DKL9	A14EL_HUMAN	644100
Q8IZ83	A16A1_HUMAN	126133
Q676U5	A16L1_HUMAN	55054
Q8NAA4	A16L2_HUMAN	89849
P02763	A1AG1_HUMAN	5004
P19652	A1AG2_HUMAN	5005
P01009	A1AT_HUMAN	5265
P04217	A1BG_HUMAN	1
Q9NQ94	A1CF_HUMAN	29974
Q5TYW2	A20A1_HUMAN	84210
Q5SQ80	A20A2_HUMAN	441430
Q5VUR7	A20A3_HUMAN	441425
Q4UJ75	A20A4_HUMAN	728747
P08697	A2AP_HUMAN	5345
P02750	A2GL_HUMAN	116844
P01023	A2MG_HUMAN	2
A8K2U0	A2ML1_HUMAN	144568
U3KPV4	A3LT2_HUMAN	127550
Q9NPC4	A4GAT_HUMAN	53947
Q9UNA3	A4GCT_HUMAN	51146
P05067	A4_HUMAN	351
Q96GX2	A7L3B_HUMAN	552889
P30542	AA1R_HUMAN	134
P29274	AA2AR_HUMAN	135
P29275	AA2BR_HUMAN	136
P0DMS8	AA3R_HUMAN	140
Q9NS82	AAA1_HUMAN	56301
P22760	AAAD_HUMAN	13
Q9NRG9	AAAS_HUMAN	8086
Q15758	AAAT_HUMAN	6510
Q86V21	AACS_HUMAN	65985
P01011	AACT_HUMAN	12
Q8N5Z0	AADAT_HUMAN	51166
Q6PD74	AAGAB_HUMAN	79719
Q2M2I8	AAK1_HUMAN	22848
Q9Y478	AAKB1_HUMAN	5564
O43741	AAKB2_HUMAN	5565
P54619	AAKG1_HUMAN	5571
Q9UGJ0	AAKG2_HUMAN	51422
Q9UGI9	AAKG3_HUMAN	53632
Q9H7C9	AAMDC_HUMAN	28971
Q13685	AAMP_HUMAN	14
Q13131	AAPK1_HUMAN	5562
P54646	AAPK2_HUMAN	5563
Q9Y312	AAR2_HUMAN	25980
Q4LEZ3	AARD_HUMAN	441376
Q9BTE6	AASD1_HUMAN	100885850
Q9BTE6	AASD1_HUMAN	80755
Q9UDR5	AASS_HUMAN	10157
Q8NHS2	AATC2_HUMAN	137362
P17174	AATC_HUMAN	2805
Q9NY61	AATF_HUMAN	26574
P00505	AATM_HUMAN	2806
Q7Z5M8	AB12B_HUMAN	145447
Q96GS6	AB17A_HUMAN	81926
Q5VST6	AB17B_HUMAN	51104
Q6PCB6	AB17C_HUMAN	58489
Q7Z5R6	AB1IP_HUMAN	54518
P31941	ABC3A_HUMAN	100913187
P31941	ABC3A_HUMAN	200315
Q9UH17	ABC3B_HUMAN	9582
Q9NRW3	ABC3C_HUMAN	27350
Q8IUX4	ABC3F_HUMAN	200316
Q9HC16	ABC3G_HUMAN	60489
Q6NTF7	ABC3H_HUMAN	164668
O95477	ABCA1_HUMAN	19
Q9BZC7	ABCA2_HUMAN	20
Q99758	ABCA3_HUMAN	21
P78363	ABCA4_HUMAN	24
Q8WWZ7	ABCA5_HUMAN	23461
Q8N139	ABCA6_HUMAN	23460
Q8IZY2	ABCA7_HUMAN	10347
O94911	ABCA8_HUMAN	10351
Q8IUA7	ABCA9_HUMAN	10350
Q8WWZ4	ABCAA_HUMAN	10349
Q86UK0	ABCAC_HUMAN	26154
Q86UQ4	ABCAD_HUMAN	154664
Q2M3G0	ABCB5_HUMAN	340273
Q9NP58	ABCB6_HUMAN	10058
O75027	ABCB7_HUMAN	22
Q9NP78	ABCB9_HUMAN	23457
Q9NRK6	ABCBA_HUMAN	23456
O95342	ABCBB_HUMAN	8647
Q09428	ABCC8_HUMAN	6833
O60706	ABCC9_HUMAN	10060
Q96J66	ABCCB_HUMAN	85320
P33897	ABCD1_HUMAN	215
Q9UBJ2	ABCD2_HUMAN	225
P28288	ABCD3_HUMAN	5825
O14678	ABCD4_HUMAN	5826
P61221	ABCE1_HUMAN	6059
Q8NE71	ABCF1_HUMAN	23
Q9UG63	ABCF2_HUMAN	10061
Q9UG63	ABCF2_HUMAN	114483834
Q9NUQ8	ABCF3_HUMAN	55324
P45844	ABCG1_HUMAN	9619
Q9UNQ0	ABCG2_HUMAN	9429
Q9H172	ABCG4_HUMAN	64137
Q9H222	ABCG5_HUMAN	64240
Q9H221	ABCG8_HUMAN	64241
Q8N2K0	ABD12_HUMAN	26090
P41238	ABEC1_HUMAN	339
Q9Y235	ABEC2_HUMAN	10930
Q8WW27	ABEC4_HUMAN	403314
Q6UXT9	ABH15_HUMAN	116236
Q96SE0	ABHD1_HUMAN	84696
P08910	ABHD2_HUMAN	11057
Q8WU67	ABHD3_HUMAN	171586
Q8TB40	ABHD4_HUMAN	63874
Q8WTS1	ABHD5_HUMAN	51099
Q9BV23	ABHD6_HUMAN	57406
Q96I13	ABHD8_HUMAN	79575
Q9NUJ1	ABHDA_HUMAN	55347
Q8NFV4	ABHDB_HUMAN	83451
Q7L211	ABHDD_HUMAN	84945
Q9BUJ0	ABHEA_HUMAN	25864
Q96IU4	ABHEB_HUMAN	84836
O95870	ABHGA_HUMAN	7920
Q9H3Z7	ABHGB_HUMAN	140701
