uniprot.id	hla	ligand.len	count
A0A024R161	HLA-A0201	9	3
A0A024R161	HLA-A1101	9	2
A0A024R161	HLA-B0702	9	7
A0A024R161	HLA-B2705	9	4
A0A024R161	HLA-C0202	9	11
A0A024R161	HLA-C1507	9	5
A0A075B6F4	HLA-A0201	9	3
A0A075B6F4	HLA-A1101	9	5
A0A075B6F4	HLA-B0702	9	4
A0A075B6F4	HLA-B2705	9	6
A0A075B6F4	HLA-C0202	9	7
A0A075B6F4	HLA-C1507	9	5
A0A075B6H5	HLA-A0201	9	3
A0A075B6H5	HLA-A1101	9	4
A0A075B6H5	HLA-B0702	9	5
A0A075B6H5	HLA-B2705	9	2
A0A075B6H5	HLA-C0202	9	4
A0A075B6H5	HLA-C1507	9	4
A0A075B6H7	HLA-A0201	9	4
A0A075B6H7	HLA-A1101	9	1
A0A075B6H7	HLA-B0702	9	5
A0A075B6H7	HLA-B2705	9	4
A0A075B6H7	HLA-C0202	9	13
A0A075B6H7	HLA-C1507	9	6
A0A075B6H8	HLA-A0201	9	4
A0A075B6H8	HLA-A1101	9	4
A0A075B6H8	HLA-B0702	9	4
A0A075B6H8	HLA-B2705	9	1
A0A075B6H8	HLA-C0202	9	10
A0A075B6H8	HLA-C1507	9	6
A0A075B6H9	HLA-A0201	9	2
A0A075B6H9	HLA-A1101	9	1
A0A075B6H9	HLA-B0702	9	2
A0A075B6H9	HLA-B2705	9	1
A0A075B6H9	HLA-C0202	9	8
A0A075B6H9	HLA-C1507	9	7
A0A075B6I0	HLA-A0201	9	5
A0A075B6I0	HLA-A1101	9	1
A0A075B6I0	HLA-B0702	9	4
A0A075B6I0	HLA-B2705	9	1
A0A075B6I0	HLA-C0202	9	11
A0A075B6I0	HLA-C1507	9	3
A0A075B6I1	HLA-A0201	9	2
A0A075B6I1	HLA-A1101	9	1
A0A075B6I1	HLA-B0702	9	2
A0A075B6I1	HLA-B2705	9	1
A0A075B6I1	HLA-C0202	9	8
A0A075B6I1	HLA-C1507	9	7
A0A075B6I3	HLA-A0201	9	3
A0A075B6I3	HLA-A1101	9	3
A0A075B6I3	HLA-B0702	9	2
A0A075B6I3	HLA-B2705	9	2
A0A075B6I3	HLA-C0202	9	9
A0A075B6I3	HLA-C1507	9	7
A0A075B6I4	HLA-A0201	9	2
A0A075B6I4	HLA-A1101	9	2
A0A075B6I4	HLA-B0702	9	2
A0A075B6I4	HLA-B2705	9	2
A0A075B6I4	HLA-C0202	9	5
A0A075B6I4	HLA-C1507	9	3
A0A075B6I6	HLA-A0201	9	4
A0A075B6I6	HLA-A1101	9	2
A0A075B6I6	HLA-B0702	9	2
A0A075B6I6	HLA-C0202	9	8
A0A075B6I6	HLA-C1507	9	6
A0A075B6I7	HLA-A0201	9	3
A0A075B6I7	HLA-A1101	9	1
A0A075B6I7	HLA-B0702	9	2
A0A075B6I7	HLA-B2705	9	3
A0A075B6I7	HLA-C0202	9	8
A0A075B6I7	HLA-C1507	9	6
A0A075B6I9	HLA-A0201	9	1
A0A075B6I9	HLA-A1101	9	1
A0A075B6I9	HLA-B0702	9	3
A0A075B6I9	HLA-B2705	9	1
A0A075B6I9	HLA-C0202	9	10
A0A075B6I9	HLA-C1507	9	4
A0A075B6J1	HLA-A0201	9	1
A0A075B6J1	HLA-A1101	9	1
A0A075B6J1	HLA-B0702	9	1
A0A075B6J1	HLA-B2705	9	2
A0A075B6J1	HLA-C0202	9	4
A0A075B6J1	HLA-C1507	9	3
A0A075B6J2	HLA-A0201	9	3
A0A075B6J2	HLA-A1101	9	2
A0A075B6J2	HLA-B0702	9	1
A0A075B6J2	HLA-B2705	9	1
A0A075B6J2	HLA-C0202	9	6
A0A075B6J2	HLA-C1507	9	5
A0A075B6J6	HLA-A0201	9	3
A0A075B6J6	HLA-A1101	9	2
A0A075B6J6	HLA-B0702	9	1
A0A075B6J6	HLA-B2705	9	3
A0A075B6J6	HLA-C0202	9	11
A0A075B6J6	HLA-C1507	9	6
A0A075B6J9	HLA-A0201	9	1
A0A075B6J9	HLA-A1101	9	3
A0A075B6J9	HLA-B0702	9	3
A0A075B6J9	HLA-C0202	9	7
A0A075B6J9	HLA-C1507	9	2
A0A075B6K0	HLA-A0201	9	2
A0A075B6K0	HLA-A1101	9	1
A0A075B6K0	HLA-B0702	9	3
A0A075B6K0	HLA-B2705	9	1
A0A075B6K0	HLA-C0202	9	6
A0A075B6K0	HLA-C1507	9	3
A0A075B6K2	HLA-A0201	9	2
A0A075B6K2	HLA-A1101	9	3
A0A075B6K2	HLA-B0702	9	2
A0A075B6K2	HLA-B2705	9	4
A0A075B6K2	HLA-C0202	9	5
A0A075B6K2	HLA-C1507	9	3
A0A075B6K4	HLA-A0201	9	2
A0A075B6K4	HLA-A1101	9	1
A0A075B6K4	HLA-B0702	9	1
A0A075B6K4	HLA-B2705	9	1
A0A075B6K4	HLA-C0202	9	9
A0A075B6K4	HLA-C1507	9	5
A0A075B6K5	HLA-A0201	9	3
A0A075B6K5	HLA-A1101	9	4
A0A075B6K5	HLA-B0702	9	3
A0A075B6K5	HLA-B2705	9	2
A0A075B6K5	HLA-C0202	9	7
A0A075B6K5	HLA-C1507	9	4
A0A075B6K6	HLA-A0201	9	3
A0A075B6K6	HLA-A1101	9	2
A0A075B6K6	HLA-B0702	9	3
A0A075B6K6	HLA-B2705	9	3
A0A075B6K6	HLA-C0202	9	8
A0A075B6K6	HLA-C1507	9	5
A0A075B6L2	HLA-A0201	9	2
A0A075B6L2	HLA-A1101	9	6
A0A075B6L2	HLA-B0702	9	3
A0A075B6L2	HLA-C0202	9	9
A0A075B6L2	HLA-C1507	9	5
A0A075B6L6	HLA-A0201	9	2
A0A075B6L6	HLA-A1101	9	3
A0A075B6L6	HLA-B0702	9	4
A0A075B6L6	HLA-B2705	9	3
A0A075B6L6	HLA-C0202	9	7
A0A075B6L6	HLA-C1507	9	5
A0A075B6M9	HLA-A0201	9	2
A0A075B6M9	HLA-A1101	9	4
A0A075B6M9	HLA-B0702	9	3
A0A075B6M9	HLA-B2705	9	2
A0A075B6M9	HLA-C0202	9	5
A0A075B6M9	HLA-C1507	9	3
A0A075B6N1	HLA-A0201	9	2
A0A075B6N1	HLA-A1101	9	4
A0A075B6N1	HLA-B0702	9	1
A0A075B6N1	HLA-B2705	9	4
A0A075B6N1	HLA-C0202	9	5
A0A075B6N1	HLA-C1507	9	1
A0A075B6N2	HLA-A0201	9	4
A0A075B6N2	HLA-A1101	9	4
A0A075B6N2	HLA-B0702	9	4
A0A075B6N2	HLA-B2705	9	3
A0A075B6N2	HLA-C0202	9	7
A0A075B6N2	HLA-C1507	9	6
A0A075B6N3	HLA-A0201	9	4
A0A075B6N3	HLA-A1101	9	3
A0A075B6N3	HLA-B0702	9	3
A0A075B6N3	HLA-B2705	9	5
A0A075B6N3	HLA-C0202	9	9
A0A075B6N3	HLA-C1507	9	3
