peptide_sequence_id	uniprot_id
17481	P42224
50399	P62424
35111	Q9Y4F4
16383	P01042
13745	Q13829
30242	P02768
48411	P0DP03
36182	Q96I25
32326	Q9UL58
13741	Q66K64
46818	Q92499
22054	Q15742
56028	Q6UW68
46890	Q13464
23048	Q9H9S4
3086	Q9BZE4
29715	Q9UBB4
61382	Q15582
9825	P30491
58037	P62424
40626	Q99576
61060	P60709
9469	Q6TFL4
52843	Q9Y6C9
27057	P09874
8508	Q4V348
9025	O00571
33502	P02538
48500	P34931
47851	Q9Y5V3
44924	O75330
17417	O75312
55991	O75923
41393	Q96PV6
48858	P02042
8049	P34810
36816	Q9P2K1
1293	P35221
1805	Q9BWF3
40274	P40424
50328	Q9Y2S2
3217	P51148
55210	P0C0L5
48304	P48681
23462	P0CG38
44507	P30505
22132	Q15057
24579	P10319
11397	Q9H0S4
25916	P61313
62291	P98160
10233	Q8WXG6
38523	Q9UIG0
11717	O43826
17117	Q16853
16295	P06493
2313	P01892
32986	O60333
27795	Q92930
1589	Q9H6T3
3248	O43707
54023	P42765
64170	Q13228
50465	P06899
8969	Q8TAU0
54574	P30462
4632	Q69YQ0
38813	P19105
34700	P52757
14531	Q92585
62063	P68133
61408	P25705
27070	O94906
11201	Q9Y6H1
1296	P40763
62685	P69905
16344	P41594
12186	Q96MC6
38462	P52179
42656	P68133
58049	P00740
63422	P62891
53613	Q9Y3U8
5843	P01859
22673	Q68DK7
42270	O15389
24346	O75947
4031	Q9NVP1
24472	Q9BT22
52471	Q969Z3
55622	P13612
28108	Q9ULT0
14478	Q86WA8
45650	P35579
7888	Q9BU23
31304	Q9C0B5
56919	P10619
20266	P18077
32216	O95271
24957	Q15723
62587	O75787
11645	P04114
8014	Q8N257
55521	P13164
6013	Q9UL33
43744	Q99798
41929	P63267
17976	P07992
37254	Q9P2I0
58215	P10619
63587	O00755
15565	P24752
24354	P07954
2314	P01891
43188	O94804
52537	P04406
56317	P16070
12948	P01889
59102	P06396
60201	P05067
850	O60285
29464	Q9Y2X0
15633	Q92902
34213	O00203
50726	P16403
56077	P00751
4760	Q8ND71
38143	Q9H9V9
45492	Q9NS56
39009	P10321
42144	Q8WXH0
53765	P78371
13949	Q8TDB6
7293	Q8WXG6
1373	Q8TBP5
45594	Q12882
17806	Q9UHC7
33809	Q08AF3
58884	P02790
41719	P40939
48186	A8K7I4
15568	O75891
26540	Q9NRH2
44424	P02730
11205	P53621
45344	Q13813
2389	P30479
37082	P30456
58561	P07741
28906	Q9HD45
3573	Q13813
17175	Q9BQE3
7017	Q04726
21703	P42677
9942	Q9UQR1
22642	Q9NR09
13582	P86791
40997	P40879
5560	Q6KC79
41137	P22626
23645	Q13418
3242	P69905
47173	Q9Y490
47537	P08238
5326	P24468
9319	Q8NF50
58923	O15344
24020	O95373
45158	Q8WW22
11903	Q9UBV2
62782	Q06055
57506	P01024
28469	P48553
39236	P69905
28935	P57081
26012	Q9Y485
31113	Q8WX93
11192	Q86VI3
4377	Q6P4E1
38377	Q9Y4C2
22553	P61981
29941	Q6ZRI6
28187	P32456
10517	A8MVU1
32915	P58107
12900	Q96RK4
47424	Q9Y5X4
57254	P30486
30509	Q9Y4G6
24845	Q8N264
15224	Q8NG48
19005	Q5VT06
55302	O95716
17898	O60508
61423	Q9Y6R7
36420	O94832
55937	P10909
50786	P02671
18964	O15438
2313	P01893
16038	Q96A33
12758	A6NHR9
32341	P42167
980	P51911
50514	P24855
10097	P46977
33810	Q96I45
29778	Q13748
47926	Q92499
25243	P35241
40044	O14579
41236	Q9BZF9
27637	O95219
26179	Q12873
26433	Q15365
25475	Q9C019
34658	Q8N3S3
19344	Q05084
34952	Q14562
7514	Q14571
55336	P33151
32154	P55263
23611	P01920
20199	P23763
15079	O14497
44792	Q9UNQ0
50370	Q9Y6R7
58828	P15502
36580	O14827
58511	P11215
24899	P62736
37197	P35749
946	Q562E7
48301	Q8TDB6
39144	P12111
42565	O15143
20510	Q13183
32395	P63146
5789	P68133
57969	P22314
59530	A0A0B4J1V1
49631	P55899
8932	Q9BRQ3
13584	P24928
57094	Q6FI13
2379	Q9H2K2
36936	P27816
52055	P07357
17515	P60709
38357	P08514
44507	P18462
48734	P04798
9603	Q9C0D2
17280	Q9H0J9
445	P30464
13593	O75970
14794	P38117
32503	P08238
47289	Q14103
31673	P61247
44898	P02655
52219	P04432
59798	P60709
23462	A5A3E0
53731	O75976
57789	Q9NY15
